Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.852591209411621094e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.353999999999999915e+01,2.778999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.862559776306152344e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.367000000000000171e+01,2.817999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.872565872669219971e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.367000000000000171e+01,2.805000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.882590682506561279e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.371000000000000085e+01,2.828000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.892596371173858643e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.396000000000000085e+01,2.833999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.902596082687377930e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.400000000000000000e+01,2.825000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.912567768096923828e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.425000000000000000e+01,2.862999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.922499754428863525e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.425000000000000000e+01,2.844000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.932478122711181641e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.440999999999999659e+01,2.860000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.942484622001647949e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.460999999999999943e+01,2.876000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.952419207096099854e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.457999999999999829e+01,2.869999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.962338867187500000e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.457999999999999829e+01,2.882999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.972284424304962158e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.474000000000000199e+01,2.867000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.982276539802551270e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.482999999999999829e+01,2.914999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.992284350395202637e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.503000000000000114e+01,2.901999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
